x,y,estimate,variance
61.252446,0.000000,6.830365,0.123090
61.448141,0.000000,6.799360,0.115230
61.643836,0.000000,6.768866,0.106986
61.839530,0.000000,6.739028,0.098529
62.035225,0.000000,6.710063,0.090184
62.230920,0.000000,6.682284,0.082501
62.426614,0.000000,6.656105,0.076264
62.622309,0.000000,6.631988,0.072334
62.818004,0.000000,6.610248,0.071237
63.013699,0.000000,6.590844,0.072767
63.209393,0.000000,6.573399,0.076047
63.405088,0.000000,6.557409,0.079989
63.600783,0.000000,6.542424,0.083666
63.796477,0.000000,6.528119,0.086421
63.992172,0.000000,6.514284,0.087826
64.187867,0.000000,6.500791,0.087619
64.383562,0.000000,6.487578,0.085645
64.579256,0.000000,6.474638,0.081836
64.774951,0.000000,6.462015,0.076208
64.970646,0.000000,6.449744,0.068894
65.166341,0.000000,6.438089,0.060245
65.362035,0.000000,6.427671,0.051076
65.557730,0.000000,6.419780,0.043189
65.753425,0.000000,6.416663,0.039782
65.949119,0.000000,6.419952,0.043348
66.144814,0.000000,6.428354,0.052415
66.340509,0.000000,6.439531,0.063954
66.536204,0.000000,6.452031,0.076056
66.731898,0.000000,6.465160,0.087813
66.927593,0.000000,6.478583,0.098799
67.123288,0.000000,6.492131,0.108811
67.318982,0.000000,6.505712,0.117749
67.514677,0.000000,6.519273,0.125570
67.710372,0.000000,6.532761,0.132267
67.906067,0.000000,6.546096,0.137860
68.101761,0.000000,6.559261,0.142381
68.297456,0.000000,6.572256,0.145877
68.493151,0.000000,6.585087,0.148410
68.688845,0.000000,6.597754,0.150052
68.884540,0.000000,6.610271,0.150891
69.080235,0.000000,6.622592,0.151033
69.275930,0.000000,6.634692,0.150597
69.471624,0.000000,6.646599,0.149711
69.667319,0.000000,6.658592,0.148510
69.863014,0.000000,6.671023,0.147128
70.058708,0.000000,6.684025,0.145690
70.254403,0.000000,6.697619,0.144297
70.450098,0.000000,6.711815,0.143013
70.645793,0.000000,6.726614,0.141853
70.841487,0.000000,6.742005,0.140780
71.037182,0.000000,6.757969,0.139706
71.232877,0.000000,6.774510,0.138507
71.428571,0.000000,6.791715,0.137029
71.624266,0.000000,6.809554,0.135111
71.819961,0.000000,6.827987,0.132589
72.015656,0.000000,6.846956,0.129310
72.211350,0.000000,6.866418,0.125136
72.407045,0.000000,6.886346,0.119948
72.602740,0.000000,6.906721,0.113651
72.798434,0.000000,6.927549,0.106170
72.994129,0.000000,6.948847,0.097467
73.189824,0.000000,6.970638,0.087545
73.385519,0.000000,6.992985,0.076476
73.581213,0.000000,7.016025,0.064473
73.776908,0.000000,7.040079,0.052076
73.972603,0.000000,7.065949,0.040669
74.168297,0.000000,7.095528,0.033573
74.363992,0.000000,7.131279,0.035006
74.559687,0.000000,7.172586,0.043603
74.755382,0.000000,7.216870,0.054706
74.951076,0.000000,7.262655,0.065828
75.146771,0.000000,7.309346,0.076152
75.342466,0.000000,7.356696,0.085529
75.538160,0.000000,7.404592,0.094070
75.733855,0.000000,7.452976,0.101985
75.929550,0.000000,7.501813,0.109500
76.125245,0.000000,7.551097,0.116808
76.320939,0.000000,7.600814,0.124046
76.516634,0.000000,7.650941,0.131275
76.712329,0.000000,7.701452,0.138495
76.908023,0.000000,7.752324,0.145654
77.103718,0.000000,7.803531,0.152671
77.299413,0.000000,7.855053,0.159449
77.495108,0.000000,7.906869,0.165889
77.690802,0.000000,7.958967,0.171904
77.886497,0.000000,8.011338,0.177420
